predLifeLen,foodEnergy
0.5,5.6
1.0,2.8
1.5,8.25
2.0,2.8333333333333335
2.5,5.0
3.0,2.5
3.5,2.0
4.0,9.5
0.5,4.2
1.0,3.0
1.5,2.0
2.0,5.5
2.5,3.0
3.0,2.857142857142857
3.5,1.3333333333333333
4.0,2.1666666666666665
0.5,9.0
1.0,1.3333333333333333
1.5,4.4
2.0,6.714285714285714
2.5,2.0
3.0,7.0
3.5,1.6666666666666667
4.0,5.5
0.5,3.0
1.0,4.4
1.5,3.5
2.0,4.0
2.5,3.7142857142857144
3.0,3.0
3.5,2.5
4.0,1.5
0.5,3.4
1.0,5.0
1.5,4.428571428571429
2.0,3.8
2.5,4.0
3.0,3.4
3.5,6.571428571428571
4.0,2.4
0.5,2.0
1.0,2.0
1.5,2.5
2.0,3.2
2.5,1.6666666666666667
3.0,4.375
3.5,5.111111111111111
4.0,2.888888888888889
0.5,5.714285714285714
1.0,11.0
1.5,2.0
2.0,13.0
2.5,6.0
3.0,10.5
3.5,3.0
4.0,4.777777777777778
0.5,1.6666666666666667
1.0,5.206896551724138
1.5,2.6
2.0,4.0
2.5,4.5625
3.0,1.5
3.5,5.7368421052631575
4.0,5.142857142857143
0.5,3.0
1.0,8.0
1.5,12.0
2.0,1.6666666666666667
2.5,8.333333333333334
3.0,5.0
3.5,4.6875
4.0,9.0
0.5,5.0
1.0,3.0
1.5,6.0
2.0,14.0
2.5,8.0
3.0,7.166666666666667
3.5,3.625
4.0,2.0
